target,text,indices,label
operating system,"it ' s so much easier to navigate through the $t$ , to find files , and it runs a lot faster !",10,1
find files,"it ' s so much easier to navigate through the operating system , to $t$ , and it runs a lot faster !",14,1
runs,"it ' s so much easier to navigate through the operating system , to find files , and it $t$ a lot faster !",19,1
warrenty,purchased a toshiba lap top it worked good until just after the $t$ went out .,12,-1
extended warranty,"i wanted to purchase the $t$ and they refused , because they knew it was trouble .",5,0
memory,we upgraded the $t$ to four gigabytes in order to take advantage of the performace increase in speed .,3,0
performace,we upgraded the memory to four gigabytes in order to take advantage of the $t$ increase in speed .,14,1
speed,we upgraded the memory to four gigabytes in order to take advantage of the performace increase in $t$ .,17,1
opening my documents folder,"the reality was , it heated up very quickly , and took way too long to do simple things , like $t$ .",21,-1
operating systems,i had always used pcs and been constantly frustrated by the crashing and the poorly designed $t$ that were never very intuitive .,16,-1
charger,"then , within 5 months , the $t$ crapped out on me .",7,-1
speed,and if you have a iphone or ipod touch you can connect and download songs to it at high $t$ .,19,1
glass touchpad,i love the $t$ .,3,1
hard drive,i continued to take the computer in again and they replaced the $t$ and mother board yet again .,12,-1
mother board,i continued to take the computer in again and they replaced the hard drive and $t$ yet again .,15,-1
external speaker,i am using the $t$ sound is good .,4,1
battery life,"still testing the $t$ as i thought it would be better , but am very happy with the upgrade .",3,-1
hardware,"then hp sends it back to me with the $t$ screwed up , not able to connect .",9,-1
shipping,"oh yeah , don ' t forget the expensive $t$ to and from hp .",9,-1
use,"everything is so easy to $t$ , mac software is just so much simpler than microsoft software .",5,1
mac software,"everything is so easy to use , $t$ is just so much simpler than microsoft software .",7,1
microsoft software,"everything is so easy to use , mac software is just so much simpler than $t$ .",15,-1
editing,"and if you do a lot of writing , $t$ is a problem since there is no forward delete key .",9,-1
delete key,"and if you do a lot of writing , editing is a problem since there is no forward $t$ .",18,-1
use,its ease of $t$ and the top service from apple be it their phone assistance or bellying up to the genius bar cannot be beat .,3,1
service,its ease of use and the top $t$ from apple be it their phone assistance or bellying up to the genius bar cannot be beat .,7,1
phone assistance,its ease of use and the top service from apple be it their $t$ or bellying up to the genius bar cannot be beat .,13,1
genius bar,its ease of use and the top service from apple be it their phone assistance or bellying up to the $t$ cannot be beat .,20,1
battery life,"it has a 10 hour $t$ when you ' re doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it ' ll have a battery life of just over 5 hours .",5,1
web browsing,"it has a 10 hour battery life when you ' re doing $t$ and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it ' ll have a battery life of just over 5 hours .",12,0
word editing,"it has a 10 hour battery life when you ' re doing web browsing and $t$ , making it perfect for the classroom or office , and in terms of gaming and movie playing it ' ll have a battery life of just over 5 hours .",15,0
gaming,"it has a 10 hour battery life when you ' re doing web browsing and word editing , making it perfect for the classroom or office , and in terms of $t$ and movie playing it ' ll have a battery life of just over 5 hours .",31,0
movie playing,"it has a 10 hour battery life when you ' re doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and $t$ it ' ll have a battery life of just over 5 hours .",33,0
battery life,"it has a 10 hour battery life when you ' re doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it ' ll have a $t$ of just over 5 hours .",40,1
recovery discs,"acer has set me up with free $t$ , when they are available since i asked .",7,1
"office max ' s "" max assurance","i also purchased $t$ "" with the "" no lemon "" clause .",3,0
imac backup disc,i eventually did the migration from my $t$ which uses usb .,7,0
usb,i eventually did the migration from my imac backup disc which uses $t$ .,12,0
battery life,"the $t$ seems to be very good , and have had no issues with it .",1,1
battery timer,enabling the $t$ is useless .,2,-1
temperatures,$t$ on the outside were alright but i did not track in core processing unit temperatures .,0,0
core processing unit temperatures,temperatures on the outside were alright but i did not track in $t$ .,12,0
service,going to bring it to $t$ today .,5,0
virus protection for mac,"there is no need to purchase $t$ , which saves me a lot of time and money .",6,1
bluetooth,"but we had paid for $t$ , and there was none .",5,-1
lg notebook service center,"so , i paid a visit to $t$ at alexandra road , hoping they can make the hinge tighter .",7,0
hinge,"so , i paid a visit to lg notebook service center at alexandra road , hoping they can make the $t$ tighter .",20,-1
games,"my daughter uses it for $t$ , email , facebook , pictures and music .",5,0
responds,"it is always reliable , never bugged and $t$ well .",8,1
motherboard,after about a week i finally got it back and was told that the $t$ had failed and so they installed a new motherboard .,14,-1
motherboard,after about a week i finally got it back and was told that the motherboard had failed and so they installed a new $t$ .,23,0
hardware,"it was slow , locked up , and also had $t$ replaced after only 2 months !",10,-1
motherboard,they had to replace the $t$ in april,5,-1
use,"yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in $t$ .",21,1
representive at microsoft,"also , if you need to talk to a $t$ , there is a charge , which i believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with xp if they could .",9,-1
system,"also , if you need to talk to a representive at microsoft , there is a charge , which i believe is robbery , since you are charged enormous amounts for a very badly designed $t$ , which most people would have went with xp if they could .",35,-1
xp,"also , if you need to talk to a representive at microsoft , there is a charge , which i believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with $t$ if they could .",44,1
windows 7,i love $t$ which is a vast improvment over vista .,2,1
vista,i love windows 7 which is a vast improvment over $t$ .,10,-1
keyboard,"$t$ is great , very quiet for all the typing that i do .",0,1
dell ' s customer disservice,$t$ is an insult to it ' s customers who pay good money for shoddy products .,0,-1
cooling system,"it had a $t$ malfunction after 10 minutes of general use , and would not move past this error .",3,-1
use,"it had a cooling system malfunction after 10 minutes of general $t$ , and would not move past this error .",11,0
quad core i7,"i can render avchd movies with little effort , which was a problem for most pc ' s unless you had a $t$ .",22,1
sales associate,"after talking it over with the very knowledgeable $t$ , i chose the macbook pro over the white macbook .",8,1
system,"if you really want a bang-up $t$ and don ' t need to run windows applications , go with an apple ;",6,1
windows applications,"if you really want a bang-up system and don ' t need to run $t$ , go with an apple ;",14,0
virus program,you won ' t have to spend gobs of money on some inefficient $t$ that needs to be updated every month and that constantly drains your wallet .,13,-1
weighed,it $t$ like seven pounds or something like that .,1,0
seven pounds,it weighed like $t$ or something like that .,3,0
battery,"2 months later , the $t$ went .",5,-1
bag,you may need to special order a $t$ .,7,0
color,it ' s $t$ is even cool .,3,1
keys,$t$ are all in weird places and is way too large for the way it is designed .,0,-1
designed,keys are all in weird places and is way too large for the way it is $t$ .,16,-1
style,"yes , a mac is much more money than the average laptop out there , but there is no comparison in $t$ , speed and just cool factor .",21,1
speed,"yes , a mac is much more money than the average laptop out there , but there is no comparison in style , $t$ and just cool factor .",23,1
keyboard,the $t$ feels good and i type just fine on it .,1,1
mousepad,i thought the white mac computers looked dirty too quicly where you use the $t$ and where you place your hands when typing .,14,0
battery,"and not to mention after using it for a few months or so , the $t$ will slowly less and less hold a charge until you can ' t leave it unplugged for more than 5 minutes without the thing dying .",15,-1
service,"best buy - 5 stars + + + ( sales , $t$ , respect for old men who aren ' t familiar with the technology ) dell computers - 3 stars dell support - owes a me a couple",11,1
dell support,"best buy - 5 stars + + + ( sales , service , respect for old men who aren ' t familiar with the technology ) dell computers - 3 stars $t$ - owes a me a couple",31,1
hard drive,"no complaints with their desktop , and maybe because it just sits on your desktop , and you don ' t carry it around , which could jar the $t$ , or the motherboard .",29,0
motherboard,"no complaints with their desktop , and maybe because it just sits on your desktop , and you don ' t carry it around , which could jar the hard drive , or the $t$ .",34,0
speed,"yes , they cost more , but they more than make up for it in $t$ , construction quality , and longevity .",15,1
construction quality,"yes , they cost more , but they more than make up for it in speed , $t$ , and longevity .",17,1
longevity,"yes , they cost more , but they more than make up for it in speed , construction quality , and $t$ .",21,1
keyboard,"since i keyboard over 100 wpm , i look for a unit that has a comfortble $t$ ( no keys sticking or lagging , strange configuration of "" extra key "" , etc .",16,1
keys,"since i keyboard over 100 wpm , i look for a unit that has a comfortble keyboard ( no $t$ sticking or lagging , strange configuration of "" extra key "" , etc .",19,1
"configuration of "" extra key","since i keyboard over 100 wpm , i look for a unit that has a comfortble keyboard ( no keys sticking or lagging , strange $t$ "" , etc .",25,1
touch pad,) i also tried the $t$ and compared it to other netbooks in the store .,5,0
use,"it absolutely is more expensive than most pc laptops , but the ease of $t$ , security , and minimal problems that have arisen make it well worth the pricetag .",14,1
security,"it absolutely is more expensive than most pc laptops , but the ease of use , $t$ , and minimal problems that have arisen make it well worth the pricetag .",16,1
use,"it gets stuck all of the time you $t$ it , and you have to keep tapping on it to get it to work .",8,-1
work,"it gets stuck all of the time you use it , and you have to keep tapping on it to get it to $t$ .",23,-1
preloaded software,lots of $t$ .,2,1
webcam,"i wish it had a $t$ though , then it would be perfect !",5,-1
vga port,my favorite part of this computer is that it has a $t$ so i can connect it to a bigger screen .,11,1
screen,my favorite part of this computer is that it has a vga port so i can connect it to a bigger $t$ .,21,0
battery life,another thing i might add is the $t$ is excellent .,7,1
keys,"one drawback , i wish the $t$ were backlit .",6,-1
software,"acer was no help and garmin could not determine the problem ( after spending about 2 hours with me ) , so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my $t$ with no problem .",43,1
volume,i wish the $t$ could be louder and the mouse didnt break after only a month .,3,-1
mouse,i wish the volume could be louder and the $t$ didnt break after only a month .,9,-1
touchpad,"i play a lot of casual games online , and the $t$ is very responsive .",11,1
boots up,"granted , it ' s still a very new laptop but in comparison to my previous laptops and desktops , my mac $t$ noticeably quicker .",22,1
hard drive,it caught a virus that completely wiped out my $t$ in a matter of hours .,9,-1
look and feel standpoint,"it is everything i ' d hoped it would be from a $t$ , but somehow a bit more sturdy .",12,1
safari,the only fact i dont like about apples is they generally use $t$ and i dont use safari but after i install mozzilla firfox i love every single bit about it .,12,-1
safari,the only fact i dont like about apples is they generally use safari and i dont use $t$ but after i install mozzilla firfox i love every single bit about it .,17,-1
mozzilla firfox,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install $t$ i love every single bit about it .,22,1
bluetooth,"the $t$ was not there at all , and the fingerprint reader driver would be there , but the software would hang after installation was 1/2 way done .",1,-1
fingerprint reader driver,"the bluetooth was not there at all , and the $t$ would be there , but the software would hang after installation was 1/2 way done .",10,-1
software,"the bluetooth was not there at all , and the fingerprint reader driver would be there , but the $t$ would hang after installation was 1/2 way done .",19,-1
battery,"great $t$ , speed , display .",1,1
speed,"great battery , $t$ , display .",3,1
display,"great battery , speed , $t$ .",5,1
delivery,"the $t$ was fast , and i would not hesitate to purchase this laptop again .",1,1
battery life,i ' ve been impressed with the $t$ and the performance for such a small amount of memory .,7,1
performance,i ' ve been impressed with the battery life and the $t$ for such a small amount of memory .,11,1
memory,i ' ve been impressed with the battery life and the performance for such a small amount of $t$ .,18,-1
applications,"it ' s $t$ are terrific , including the replacements for microsoft office .",3,1
microsoft office,"it ' s applications are terrific , including the replacements for $t$ .",11,1
resolution,"they improved nothing else such as $t$ , appearance , cooling system , graphics card , etc .",6,-1
appearance,"they improved nothing else such as resolution , $t$ , cooling system , graphics card , etc .",8,-1
cooling system,"they improved nothing else such as resolution , appearance , $t$ , graphics card , etc .",10,-1
graphics card,"they improved nothing else such as resolution , appearance , cooling system , $t$ , etc .",13,-1
built-in webcam,"i got it back and my $t$ and built-in mic were shorting out anytime i touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",6,-1
built-in mic,"i got it back and my built-in webcam and $t$ were shorting out anytime i touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out .",9,-1
cam,"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but i suffered thru it and would constandly have to reset the computer to be able to use my $t$ and mic anytime they went out .",55,-1
mic,"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid , ( mind you this was my means of communication with my fiance who was deployed ) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and $t$ anytime they went out .",57,-1
windows vista,is this partially due to the fact that it is running $t$ ?,11,0
board,the $t$ has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,1,-1
connector,the board has a bad $t$ with the power supply and shortly after warrenty expires the power supply will start having issues .,5,-1
power supply,the board has a bad connector with the $t$ and shortly after warrenty expires the power supply will start having issues .,8,-1
warrenty,the board has a bad connector with the power supply and shortly after $t$ expires the power supply will start having issues .,13,-1
power supply,the board has a bad connector with the power supply and shortly after warrenty expires the $t$ will start having issues .,16,-1
works,"my dad has one of the very first toshibas ever made , yes its abit slow now but still $t$ well and i hooked to my ethernet !",19,1
ethernet,"my dad has one of the very first toshibas ever made , yes its abit slow now but still works well and i hooked to my $t$ !",26,1
drag and drop feature,mostly i love the $t$ .,4,1
webcam,"oh yeah , and if the fancy $t$ breaks guess who you have to send it to to get it fixed ?",7,-1
sales tax,"i ordered through macmall , which saved me the $t$ i would have incurred buying locally .",9,1
software packages,"of course , i also have several great $t$ that came for free including iwork , garageband , and imovie .",8,1
iwork,"of course , i also have several great software packages that came for free including $t$ , garageband , and imovie .",15,1
garageband,"of course , i also have several great software packages that came for free including iwork , $t$ , and imovie .",17,1
imovie,"of course , i also have several great software packages that came for free including iwork , garageband , and $t$ .",20,1
screen,the $t$ is very large and crystal clear with amazing colors and resolution .,1,1
colors,the screen is very large and crystal clear with amazing $t$ and resolution .,10,1
resolution,the screen is very large and crystal clear with amazing colors and $t$ .,12,1
monitor,"after a little more than a year of owning my macbook pro , the $t$ has completely died .",14,-1
itunes,"the brand of $t$ has just become ingrained in our lexicon now , but keep in mind that apple started it all .",3,1
size,"$t$ : i know 13 is small ( especially for a desktop replacement ) but with an external monitor , who cares .",0,-1
external monitor,"size : i know 13 is small ( especially for a desktop replacement ) but with an $t$ , who cares .",17,0
base installation,additional caveat : the $t$ comes with some toshiba-specific software that may or may not be to a user ' s liking .,4,-1
software,additional caveat : the base installation comes with some toshiba-specific $t$ that may or may not be to a user ' s liking .,10,-1
display,"the $t$ is incredibly bright , much brighter than my powerbook and very crisp .",1,1
amd turin processor,the $t$ seems to always perform so much better than intel .,1,1
intel,the amd turin processor seems to always perform so much better than $t$ .,12,-1
warranty,after that the said it was under $t$ .,7,0
start menu,the $t$ is not the easiest thing to navigate due to the stacking .,1,-1
navigate,the start menu is not the easiest thing to $t$ due to the stacking .,9,-1
bluray read/write drive,only thing i would want to add to this is an internal $t$ .,12,-1
service tech,the $t$ said he had tried to duplicate the damage and wasn ' t able to recreate it therefore it had to be their defect .,1,-1
tech store,"the $t$ i purchased this from sent it back , , , , , eventually i got a new or repaired machine approximately 3 weeks later .",1,-1
surface,really like the textured $t$ which shows no fingerprints .,4,1
screen,the $t$ is bright and the keyboard is nice ;,1,1
keyboard,the screen is bright and the $t$ is nice ;,6,1
ilife,but the machine is awesome and $t$ is great and i love snow leopard x .,6,1
snow leopard x,but the machine is awesome and ilife is great and i love $t$ .,12,1
price tag,"high $t$ , however .",1,-1
mac os,"i thought learning the $t$ would be hard , but it is easily picked up if you are familiar with a pc .",4,1
sound output quality,"i had static in the output , and i had to reduce the $t$ to "" fm "" as opposed to the default "" cd .",13,-1
techie,i custom ordered the machine from hp and could not understand the $t$ due to his accent .,12,-1
use,it is easy to $t$ and lightweight .,4,1
toshiba online help,i went to $t$ and found some suggestions to fix it .,3,1
service life,they also have a longer $t$ than other computers ( i have several friends who still use the older apple powerbooks ) .,5,1
ports,if you check you will find the same notebook with the above missing $t$ and a dual core amd or intel processor .,13,0
processor,if you check you will find the same notebook with the above missing ports and a dual core amd or intel $t$ .,21,0
price,this laptop is a great $t$ and has a sleek look .,5,1
look,this laptop is a great price and has a sleek $t$ .,10,1
keyboard,i especially like the $t$ which has chiclet type keys .,4,1
keys,i especially like the keyboard which has chiclet type $t$ .,9,1
quality,runs hot i thought we were paying for $t$ in our decision to buy an apple product .,8,-1
stock screen,"for the not so good , i got the $t$ - which is very glossy .",9,-1
gray color,the $t$ was a good choice .,1,1
volume buttons,i would like to have $t$ rather than the adjustment that is on the front .,5,-1
processor,the $t$ a amd semprom at 2 . 1 ghz is a bummer it does not have the power for hd or heavy computing .,1,-1
computing,the processor a amd semprom at 2 . 1 ghz is a bummer it does not have the power for hd or heavy $t$ .,23,-1
protector,i bought a $t$ for my key pad and it works great : ),3,0
key pad,i bought a protector for my $t$ and it works great : ),6,1
magnetic plug-in power charging power cord,the $t$ is great ( i even put it to the test by accident ) - excellent innovation !,1,1
xp,it seems they could have updated $t$ and done without creating vista .,6,1
vista,it seems they could have updated xp and done without creating $t$ .,11,-1
use,"it is easy to $t$ , fast and has great graphics for the money .",4,1
graphics,"it is easy to use , fast and has great $t$ for the money .",10,1
mac os,i like how the $t$ is so simple and easy to use .,4,1
use,i like how the mac os is so simple and easy to $t$ .,12,1
support,"while apple ' s saving grace is the fact that they at least stand behind their products , and their $t$ is great , it would be nice if their products were more reliable to justify the premium .",20,1
geek squad,"i was ready to take it back for a refund , but the $t$ camed through and pointed me in the right direction to get it fixed .",13,1
graphics quality,only good thing is the $t$ .,5,1
appleworks,"the other lock-up problems are from a myriad of causes , the most common being a corrupted version of $t$ which can render the browser useless .",19,-1
browser,"the other lock-up problems are from a myriad of causes , the most common being a corrupted version of appleworks which can render the $t$ useless .",24,-1
paint,the $t$ wears off easily due to the keyboard being farther back than usual .,1,-1
keyboard,the paint wears off easily due to the $t$ being farther back than usual .,8,-1
service department,i had purchased it from a major electronics store and took it to their $t$ to find out what the problem was .,14,0
warrenty,the store honored their $t$ and made the comment that they don ' t even recommend the hp brand because of the problems with their warrentys .,4,1
warrentys,the store honored their warrenty and made the comment that they don ' t even recommend the hp brand because of the problems with their $t$ .,25,-1
hard disk,i always use a backup $t$ to store important files at all times .,5,0
running,"they sent out the box right away for me to send in my computer , they paid postage and whatnot , but when i got my computer back it still wasn ' t $t$ right , and now my cd drive wasn ' t reading anything !",33,-1
cd drive,"they sent out the box right away for me to send in my computer , they paid postage and whatnot , but when i got my computer back it still wasn ' t running right , and now my $t$ wasn ' t reading anything !",39,-1
screen size,but the $t$ is not that bad for email and web browsing .,2,1
web browsing,but the screen size is not that bad for email and $t$ .,11,0
software,once i removed all the $t$ the laptop loads in 15-20 seconds .,5,-1
loads,once i removed all the software the laptop $t$ in 15-20 seconds .,8,0
trackpad,on my powerbook g4 i would never use the $t$ i would use an external mouse because i didn ' t like the trackpad .,9,-1
external mouse,on my powerbook g4 i would never use the trackpad i would use an $t$ because i didn ' t like the trackpad .,14,0
trackpad,on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn ' t like the $t$ .,23,-1
games,this computer doesn ' t do that well with certain $t$ it can ' t play some and it becomes too hot while playing games .,10,-1
features,"obviously one of the most important $t$ of any computer is the "" human interface .",6,0
interface,"obviously one of the most important features of any computer is the "" human $t$ .",14,0
inbuilt applications,"yeah , of course smarty pants "" fix it now "" ) software - compared to the early 2011 edition i did see $t$ crashing and it prompted me to send the report to apple ( which i promptly did ) .",23,-1
body,the $t$ is a bit cheaply made so it will be interesting to see how long it holds up .,1,-1
i5,the $t$ blows my desktop out of the water when it comes to rendering videos .,1,-1
antivirus software,"with a mac you don ' t have to worry about $t$ or firewall , it ' s so wonderful .",11,0
firewall,"with a mac you don ' t have to worry about antivirus software or $t$ , it ' s so wonderful .",14,0
price,"am very glad i bought it , great netbook , low $t$ .",11,1
apple team,the $t$ also assists you very nicely when choosing which computer is right for you : ),1,1
vista,"i think part of the problem with this computer is $t$ , yet i know vista isn ' t the entire issue because my latest purchase was my acer and it also has vista ( i should have waited the few months to get the next operating system ) .",10,-1
vista,"i think part of the problem with this computer is vista , yet i know $t$ isn ' t the entire issue because my latest purchase was my acer and it also has vista ( i should have waited the few months to get the next operating system ) .",15,-1
vista,"i think part of the problem with this computer is vista , yet i know vista isn ' t the entire issue because my latest purchase was my acer and it also has $t$ ( i should have waited the few months to get the next operating system ) .",33,-1
operating system,"i think part of the problem with this computer is vista , yet i know vista isn ' t the entire issue because my latest purchase was my acer and it also has vista ( i should have waited the few months to get the next $t$ ) .",46,0
video chat,the $t$ is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better .,1,-1
mouse,that whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable $t$ which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed .,33,1
fan,"$t$ vents to the side , so no cooling pad needed , great feature !",0,1
