target,text,indices,label
britney spears,noul album ` fame : the monster ` a lui lady gag va fi lansat in 24 nov in aceas zi cu cel a lui $t$ www.cr15t1.webs.com/blog.htm,25,0
lindsay lohan,"gossip girls >> $t$ : post-court pampering : after spending her morning in court , l . .",3,0
lakers,"StatusLive Lol I never had love for the $t$ yo . My nigga C10music is a die hard Laker fan , and a even more die hard Kobe fan . . SMH .",8,-1
taylor swift,"66 . my favorite singers are The Pretty Reckless , $t$ , Selena , Demi , Miley , Short Stack and Plumb -LRB- yes , Plumb is a band -RRB-",10,1
john mccain,McCain was for Gadhafi before he was against him : I noted earlier that Sen. $t$ has taken a strange ... . is US,15,0
windows 7,"vista sold more pcs than $t$ did : ironically , it was the computer manufacturers who did best in feb . 2007 . .",5,0
madonna,Sister $t$ Buder made the time cut on the swim ironman . She 's 79 yo & on the bike-she 's finished 36 roman events .,1,-1
google wave,thanks for $t$ jillglavan . i am successfully as confused as you .,2,1
britney spears,"we don do the soulja boy 's and crime mobs , we do the j-lo 's and $t$",17,0
ipod,lol . nahh . if that 's the case then it 's a lousy application . it would n't even let me log in and hanged my $t$ sia . t_t,27,0
steve jobs,There 's also the theory that the real $t$ is actually the turtleneck he wears . The body is a decoy . runita,8,-1
justin bieber,Demand $t$ in Lisbon at Eventful - .,1,1
lady gaga,Born This Way - $t$ : ... .,4,0
lindsay lohan,i have my doubts that that 's $t$ ...,7,0
nicolas cage,$t$ drowning in debt - bodog beat,0,-1
micheal jackson,im a $t$ lover hah . xD -LRB- via ASiAbAbbi -RRB- < ~ mee too adorebrittanyox Meee Three ! Have you guys saw My wallpaper : -RRB-,2,1
hillary clinton,A warm welcome to $t$ ! Max,4,0
kindle,me too . maggiedana yankee $t$ ? mariblaser as soon as they come out with that kindle that smells like a book ! they got me ! writechat,5,0
lindsay lohan,mlbpulse angels errors more contagious than $t$ genital warts at promises .,6,-1
tiger woods,misskish0h9 BarOfTheDay : my motto get money that 's it/mastering the green game like $t$ an ...,14,1
jimmy carter,"on this day in 2002 , former president $t$ won the nobel peace prize . history",8,0
harry potter,"In the time Ive spent waiting for a special someone to do their blackhair , I could 've translated all the $t$ books into Latin .",21,0
lakers,Fuck the $t$ LOL . . Teamceltics,2,-1
britney spears,downloaded it . like it ! 4 record did n't like amy song $t$ & risque 3 ; to debut atop hot 100,13,1
lindsay lohan,-LSB- cnn -RSB- -LSB- crime -RSB- lohan told next violation means jail : $t$ will be heading to jail if a judge . .,13,0
steve jobs,Kids admire $t$ more than Oprah and the Olsen twins Ask your kids who they look up to kids apple,2,0
kim kardashian,RT : DaKiDJAY17 '' FuckYeahAwny hahaha NEVER ! Mine like $t$ ... yours like Khloe ... O '' damn i don even wan na play anymore :-LRB- ha,10,-1
charlie sheen,Extremely random snow day . Win . Thanks $t$ !,8,1
sarah palin,so dumb I had to RT it : box Signed by $t$ Will Set You Back $ 1.1 Million -LRB- Plus Shipping -RRB- -,11,0
lady gaga,'' WeezyDaGreat : $t$ concert tonight anybody ??? '' < -- your going ? Lol,3,0
obama,So its okay 4 George Bush to do what evah he wants & asking questions is unpatriotic-but $t$ is supposed 2 state every move in advance-libya,17,-1
ms dhoni,"$t$ has emerged as my hero ! Honest , confident and to top it all totally humble . Kudos !",0,1
lindsay lohan,hi ! i think you look like $t$ ...,7,0
harry potter,- lol thats bit $t$ like : ' D : P,4,0
kindle,did n't want to get wet so i read all the newspapers on my laptop this morning . shame the $t$ is disappointing .,20,-1
lady gaga,"hambling242 you love $t$ , well I was going to follow you .",3,1
kindle,"i know it 's anecdotal , but the $t$ application , stanza and classics are some of the most popular apps i see",8,0
micheal jackson,trying on '' dress clothes '' for work ughhh booty n thighs hatin man aint shit open ! Grrrr now I 'm mad real mad $t$,25,0
alicia keys,okay i will be a little more reasonable ... Comparing Keyshia Cole to $t$ is like comparing Lloyd to Chris Brown,13,-1
britney spears,download $t$ '' kill the lights '' . i 've loved her since day one & it 's definitely one of her best songs ever,1,1
lindsay lohan,just woke up from a dream about me and $t$ going shopping at target . wtf,9,0
hillary clinton,- I saw FSM Pres Mori on 10/1 . He 'd met w/Sec . $t$ who said US willing to expand USAID & Peace Corps in Pacific Islands .,14,0
alicia keys,"'' They did n't know how I feel inside , through my smile I cry '' - $t$ '' Caged Bird ''",17,-1
google,I love $t$ ! as a whole with all its services,2,1
harry potter,love watching the Cowboys play especially when they WIN . Now watching $t$ . ...,12,0
alicia keys,$t$ '' That 's how strong my love is '' just made me tear up a little bit .,0,0
bill gates,i wonder what the freak is wrong with the zune software like seriously they need to get this stuff straightened out . damn you $t$ !,24,-1
miley cyrus,selena gomez stoptheselenahate :-RRB- because I 'm a selenator and I ADORE Justin and $t$ : L ! so STOP THE HATE,14,1
lindsay lohan,$t$ -- late for a very important date ! -,0,0
britney spears,"mm lady gag - starstruck , $t$ - radar , madonna - celebration rihanna - te amo shakira - did it again pixie lott - mama do",6,0
ipad,Yumagk21_1 Apple Survey - Are Apple products any good ? $t$ sucks ? apple .,10,-1
wii,im totally on twitter on my $t$ right now ... im super cool :3,6,1
lindsay lohan,"$t$ ' s love shot down ! : e ! online but where there 's a broken heart , there 's a twitter acco . .",0,0
sarah palin,"Oh , please do n't change - it 's as good as the '' whips-n-chains , '' tatooed $t$ avatar pimped at the other end of the spectrum",18,0
lindsay lohan,she means that our face like $t$ : ha what is she mean by judge us as a mean girl ?,6,-1
harry potter,Finished reading all $t$ books ! They were even more awesome then the movies ! : D,3,1
ipad,It 's official . FedEx arrived and I now have 128GB of $t$ . Now to fix that and turn Lovely Wife 's frown into a smile . fb,12,0
barack obama,"Focus on al-Qaeda , not Taliban : An official says President $t$ is prepared to accept some Taliban invo . .",11,0
barack obama,William Bradley : Obama 's Biggest Problems Still Lie Abroad : President $t$ has no shortage of nasty cri ... .,12,-1
lady gaga,gagafanforever8 ahh ... you love $t$,5,1
wii,should twitter be like $t$ and have a time out window pop up that tells you to go outside and stretch your legs ?,4,0
ipod,is this for the $t$ touch or phone . dino i have a friend with a phone that thimks jailbreaking is illegal .,4,0
nicolas cage,words ca n't express how much i loathe $t$ .,8,-1
jimmy fallon,"lol forever . You guys put on a great show ! Stephen Colbert sang ' Friday ' on $t$ . They raised $ 86,000 for Donors Choose . awesome",18,1
xbox,$t$ live : chaos mastermx is currently online . playing halo waypoint . watching videos . -LRB- xbox live nation -RRB-,0,0
google,"hoosierbeergeek england - staying in Brighton on the sea front -LRB- beach -RRB- , my office is in burgis hill ... $t$ it , its pretty awesome",21,0
lindsay lohan,is an indian version of $t$ . in the worse way . suck it samronson,5,-1
demi lovato,i love $t$ ... and i really think teenagers in Malaysia should look up to her . she 's a Really good example SoMalaysian staronline,2,1
psp,"developer : phone can rival nintendo ds , sony $t$ for games ...",9,0
xbox,how do you like settlers of catan for the $t$ ?,9,0
jimmy fallon,and $t$ and taylor hicks lmao,1,-1
windows 7,"yeah this is true , i like $t$ ... i just hate microsoft 's marketing department ... ; -RRB-",7,1
tiger woods,$t$ follow through in 18th fairway looked like Larry Bird 's last shot in 1988 3-point contest . Replay after replay . golf,0,0
harry potter,"Dame Maggie ' too frightened ' of stage after cancer battle , will ' stagger through ' last $t$ films .",18,0
hilary swank,$t$ : i let boyfriend 's son see me nude : but her revelation that she goes nude in real life -- in fro . .,0,-1
jimmy fallon,"Awesome ! KenTremendous : $t$ is doing the coolest . show in late night , and here 's proof : . . '' this is f ** king great",4,1
windows 7,are you bothered by the lack of a proper menu with $t$ ? here 's the solution .,11,0
britney spears,"was floored by the pilot on food stamps in the michael moore movie . sully should make more money than $t$ , right ?",20,0
sarah palin,My right boob is like $t$ ; always going rogue .,5,-1
taylorswift,oh justinbieber and $t$ are in the same country ?? : o that 's amazing ! I wish I were british ... ha,3,1
kindle,would you still like to borrow the $t$ ?,7,0
google wave,i 've been surfing the $t$ lately . i had high hopes but they have been dashed . perhaps it will redeem itself . googlewave,5,0
hillary clinton,holy shit ! i would fucking kill to see $t$ ...,9,-1
wii,good list ! i love my $t$ fit : -RRB-,6,1
lady gaga,I love nikki Minaj ! She 's the black $t$ but even better !!! I love you girrrlll,9,0
harry potter,Where the hell did the Opinions section of my Voice issue go ? All I want to do is read witty articles and something to do with $t$ .,27,0
ipad,"SonjaaRenee fuck $t$ , people that follow me . fuck ipad",2,-1
britney,"nowlistening $t$ , Rihanna , JLo feat Pitbull - Against the floor ... Love the vibe of this song ... . ''",1,1
britney spears,as of $t$ ??!!! you know you rock her songs !!! lol -LRB- it 's cool -RRB-,2,0
harry potter,Something I came across reading strobist . $t$ like motion images . Check it out . Very cool :,7,0
lady gaga,"i hate the lame $t$ quizes on facebook . they are all the same . if i make one , that is really hard , will y' all take it ?",4,-1
britney spears,my sister does n't believe i just kissed $t$ excellent :--RRB- will you ?,8,1
iphone,ha . . fucking $t$ always corrects the wrong fucking words,4,0
britney spears,"musicmonday my own way - honor society , everything youre not - demi lovato , tiffany blews - fall out boy , blur - $t$ : -RRB-",24,0
lakers,fucking $t$ only have black people playing on their team !! black people are good at basketball !! no wonder they are winning ! LETS GO KINGS,1,-1
charlie sheen,Mfers still riding on Chris Brown but glorify $t$ . shrugs One is early 20s other almost 50 .,8,1
kindle,"and they 're coming out with a $t$ reader for the pc , so you 'll be able to read your tech books on your computer . and search .",7,0
windows 7,the upgrade version of $t$ lets one move from any properly licensed version of windows experience or vista to windows 7 on that same computer,4,0
lindsay lohan,the top 5 stars in need of help ... asap : $t$ tops list of stars in danger of self-imploding .,11,-1
selena gomez,I liked a YouTube video -- $t$ & The Scene - Who Says .,6,1
harry potter,just watched the 1st $t$ movie ... i love mini ron & harry ' - ',4,0
britney spears,$t$ funny pictures . . -,0,0
sarah palin,'' Obama deserves the Nobel prize for the simple reason that if it were n't for him $t$ would be in the White House . '',17,0
taylor swift,Woo 3 days until $t$ !! I am so excited : D,4,1
lindsay lohan,lindsay wants dad restraining order : $t$ wants a restraining order against her father .,6,0
ipod,"; '' got me singing like na na na na e'er day , like my $t$ ' is stuck on replay . '' cute cute cute . band later . text ? 5133355871",15,0
lindsay lohan,bad place to lose a contact lens . this alley behind the liquor store looks like the contents of $t$ ' s stomach .,19,-1
lindsay lohan,"all of them are ... marc jacobs , $t$ , kate mossb . but we love ' them ! i die !",8,1
maradona,"$t$ under pressure -LRB- source : BBC -RRB- : As Argentina struggle to reach the World Cup , can Diego maradona inspire . .",0,0
google wave,hey booboo baybay ! do you have a $t$ invite by any chance ?! hahah my friend really wants one !!,8,0
britney spears,"someone must hellaaaaaaaa hate $t$ with all those fake twitter accounts ! very known on twitter ... for that , smh stooopid !",4,-1
khloe kardashian,"I used to think $t$ was n't that pretty , but she is actually really pretty .",4,1
lindsay lohan,lay on my head . . fuck my father . i even don know you . confession of the broken heart by $t$ represent what i felt . do you ever loved me ?,22,0
iphone,$t$ under attack from android invasion - pc world,0,0
lakers,Fuck Kobe And The $t$ .,4,-1
harry potter,i love $t$ and the deathly hallows,2,1
steve jobs,"Just talked to someone at adobe , they blame $t$ for no flash . adobemax",9,0
ipod,am not sure if trey songz video is going to make it to television . . like wow ! -LRB- it will make it to my $t$ though lol -RRB-,26,0
xbox,"the point is to be home and just relax/play $t$ , dude . school sucks and the people there suck aswell",9,-1
windows 7,$t$ is the best marketing campaign that apple has ever come up with .,0,1
harry potter,So now that I 'm done my homework I think it 's time to finally play that $t$ game my friend lent me like a week ago .,17,0
xbox,joke : question : what did the chiefs ' fan do after kansas city won the super bowl ? answer : he turned off the $t$ .,25,0
sarah palin,"Levi Johnston , dad to $t$ ' s grandson , to pose in ' Playgirl ' . Glenn Beck vows to cancel his subscription . by markmorford",5,-1
ashley tisdale,"Lol at people who say $t$ ca n't sing . Listen to Unlove You and Suddenly , then maybe next time you 'll think before you speak . ; -RRB-",5,1
nicolas cage,could this possibly be a good $t$ film ?,6,0
xbox,good shit yayy im getting an $t$ 360 on friday,6,0
jimmy carter,obama has achieved even less than $t$ at this stage in his presidency . . even though i ca n't remember what jimmy did,6,-1
mandy moore,":| People know me by my love for : Batman , JA Happ , San Francisco Giants , salami , Ryan Adams and $t$ , my Muppet , and Cillian Murphy .",23,1
wii,babysit a lot ! ha ! i like $t$ but i 'm kinda glad we do n't have one !,8,0
russell brand,"$t$ Swaps His ' Tools ' For Gardening Tools : Well , we 've got ta hand it to Katy Perry . The popstar has we ... .",0,0
lady gaga,"$t$ Apologizes For ' Retarded ' Slur , Approves Weird Al Parody : lady gaga performs her Monster 's Ball tour a ... .",0,-1
barack obama,"Well , I 'm very proud of $t$ for winning the Nobel Peace Prize .",7,1
xbox,"by magic . i 'll burn them to dvd for you , they 'll work on your $t$ and computer , and if your dvd player is super special",17,0
justin timberlake,"Watching $t$ 's music video for cry me a river , and all I can think is '' who in their right mind would cheat on jt ? '' ... smh .",1,0
anderson cooper,"There 's only one thing all these wars and tragedies havein common : $t$ . He 's always there first ! Katrina , before the copters !",13,-1
wii,"i wonder how many straight dudes do yoga on the $t$ fit ? because im not gon na lie , im pretty awesome now . . in other news i only weigh 150 pounds .",10,1
ipod,sorting out my $t$ for the long bus ride to mancville . got ta get some banging choons on there ! i love long bus journeys !!!!,3,0
windows 7,"i can get ubuntu 9.10 for free , and it 's better than $t$ anyway !",13,0
britney spears,why does $t$ sound like she sings through her nose,2,-1
lady gaga,wait is nikki minaj trying to be like $t$ . . if so then is sucks at it . . GAGA is the BEST : D,8,1
micheal jackson,"she got that good good , she $t$ bad !! < = I like !",7,0
ipod,vail tech : music moves even without $t$ - vail daily news - vail tech : music moves even without ipod vail daily new ...,7,0
madonna,"I love this : on Huffington Post , Guy Richie quoted : '' $t$ is retarded . '' Now THIS cracks me up .",13,-1
lady gaga,I upload a YouTube video -- $t$ Bad Romance 2ndSource MoL .,6,1
madonna,Madge 's row : $t$ falls out with toyboy lover Jesus Luz over her marriage stance It seems Jesus Luz was n't i . .,4,0
madonna,we all miss you sweetie . tell $t$ to come back soon :-RRB- -RRB- -RRB- -RRB- -RRB- kisses and lots of love from portugal,7,0
obama,"I grew up as a Democrat . Thank God ! , I learned what was real . Do n't think I am completely biased . There are some good dem , but not $t$ .",33,-1
shakira,"snedbrook asked : Listening to Esta Es Africa , I love $t$ In Spanish . ha . .",11,1
ipod,"i want to get a mp3 player for chelsea . we had an $t$ , but she had some difficulty figuring out how to use it . thinking about ...",13,0
nicolas cage,so this is what happens when you let yourself be dead in every film . '' $t$ millions in debt '' :,16,0
google,How UGLY remote controller ... Just amazing how they really think UI ... Quick Tour - $t$ television .,16,-1
jimmy carter,feels bad for $t$ who actually deserved the peace prize ; what a shame to cheapen the honor . tcot,3,1
xbox,$t$ live : oabgo i7vo good is currently offline . last seen 1 hour ago playing xbox 360 dashboard -LRB- xbox live nation -RRB-,0,0
wii,technology news : nintendo $t$ 2 with full-hd video - in 2010 : resource maxconsole released fresh details about . .,4,0
britney spears,you like $t$ ? i 'm ashamed !!!,2,-1
justin bieber,i hope i 'm 20 years old now ! SO My parents will let me to watch $t$ concert,17,1
lindsay lohan,'' redskins are first in history to play six straight winless teams . if it was any easier it 'd be $t$ . '',21,0
hillary clinton,LONDON - $t$ said the international community would not wait indefinitely for Iran,2,0
lindsay lohan,then ill end up like $t$ lol,5,-1
britney spears,"just bought my all-time favorite $t$ song , '' lucky '' on itunes since i 'm too lazy to look for the cd i know i have somewhere . .",5,1
windows 7,week in microsoft : $t$ sp1 and windows live 4.0 rumors -LRB- ars technica -RRB- : let 's look back at the week that w . .,4,0
lakers,DevinEbanks3 is having a great game $t$ vs . kings,6,0
windows 7,": been using $t$ about 3 times for less than 20 minutes , and i 've gotten 3 bsods ... windows7 fail",3,-1
britney spears,"jailbait beat lady gag , miley cyrus , taylor swift and $t$ 4 best international pop artist 2009 los premios mtv latin america awards !",11,1
obama,$t$ is keeping his peace prize .,0,0
lindsay lohan,emanuel ungaro and $t$ : cut from the same cloth ? -LRB- women 's wear daily -RRB- - x.fr / ny9,3,0
shakira,'' she 's yodeling like she thinks she 's goddamn $t$ or goddamn jewel . '',10,-1
selena gomez,$t$ = Singer ✔ Funny ✔ Actress ✔ Outgoing ✔ Beautiful ✔ Smart ✔ Laugh ✔ Smile ✔ Style ✔ Love towards her fans ✔ Fans love her ✔,0,1
wii,my plan on watching videos of the new super mario brothers . game for the $t$ has been spoiled by grad students with scholarship questions .,15,0
ipod,already have an 8gb in the 9000 but it is easier to plug in the $t$ to my car .,15,0
john mccain,$t$ AND JOE LIEBERMAN AND GRAHNESTY are all FAKE REPUBLICAN/CONSERVATIVES . They are as PROGRESSIVE LEFT as they can be,0,-1
lady gaga,$t$ YSPEAK IN YOUR OWN WAY . BE MY FRIEND PLEASE !,0,1
britney spears,new : lego heartbreak t-shirt + $t$ gives fans ' 3 ' + balloon boy and more !,6,0
britney spears,musicmonday -LRB- i ca n't get no -RRB- satisfaction - $t$ ... ha '' are you lesbian ? '' '' huh ? '' ahahahahhaha,10,0
harry potter,ashleeee99 $t$ sucks . So do these sam adams . I like the pbr better,1,-1
taylor swift,$t$ made me fall in love with country music < 3,0,1
kindle,on the nook they can share a book for 14 days . not sure about the $t$ .,16,0
perez hilton,Teeehee $t$ told joe to drop it like its hot ; -RRB-,1,0
steve jobs,my pod touch is too loud as an alarm ... damn it $t$ ! ...,12,-1
lady gaga,"Bunch song of $t$ , Like it so Much ! : *",3,1
ipad,"G.A. Henty novels are great for children 's read alouds -LRB- ages 10 + -RRB- . I 'm holding out for the $t$ , however -LRB- do n't favor Kindle -RRB- .",22,0
wii,fun at target : well i finally dragged myself out to target today to get in on the $t$ deal . i ended up wi . .,18,0
lindsay lohan,"'' $t$ looking haggard in paris - awful plastic surgery ... : awful plastic surgery , trout pout , ugly b . .",1,-1
britney spears,"i think the $t$ ' song ' 3 ' is awesome ! i could listen to it over and over again . well , back to work ! enjoy the afternoon !",3,1
britney spears,what happened to k-fed ? he gains soooo much weight after his divorce with $t$ !,14,0
lindsay lohan,"lmao epic fail , zee . epic fail . xd hahahaha , i love people like that . like $t$ or britney spears . xd",19,0
xbox,i fucking hate motherfucking electronics !!! now i 'm all fucking hot and sweaty and dusty trying to fix my fucking $t$ and nothing worked !!,21,-1
nicki minaj,Just loved $t$ feat . Drake - Moment 4 Life -LRB- DJ Kue Remix -RRB- - Dirty . on hypem,2,1
