target,text,indices,label,tweetID,type
labour,"$t$ have never increased VAT , it ' s always done by Tories .# BBCdp I didn ' t know that . $t$ should shout it out . ONLY TORIES INCREASE VAT",0#22,1,580346009445908480,party keyword
tomatoe,"# bbcqt Tax Avoidance or Tax Evasion , you say $t$ and I say $t$ ?",10#14,0,566008484467326976,ne
immigrants,@ elizagalos Probably one reason for focus on EU $t$ is that compared to $t$ from the Commonwealth they can ' t vote in # GE2015,9#14,0,570960390500315136,topic keyword
a&e,"No , the people going to $t$ were old people without appropriate social care support . The $t$ crisis happened because cuts happened . # bbcqt",6#17,-1,566018335973068801,topic keyword
nhs,$t$ is the top priority for the majority of women in the UK - less chat about the economy & more on the $t$ please PM # BattleForNumber10,0#23,0,581209162224398336,topic keyword
vat,You can’t trust the Tories’ on $t$ . They broke promises in the past to put up $t$ & they’ll do so again # BattleForNumber10,6#17,0,581202054061953024,topic keyword
uni,Do you have plans to reduce $t$ fees as its not easy for young students that aren ' t so well off to go to $t$ without debt # BattleForNumber10,6#25,-1,581211229974355968,topic keyword
london,"@ StevenjNorris crime was at one point a big issue in $t$ , this has now fallen down the agenda quite significantly # ge2015 # $t$",11#25,0,580079527658827777,ne
uk,@ scottishlabour abstained on $t$ Moratorium on fracking . OK to frack the $t$ .? They won ' t get # MyFrackingVote # GE2015 http :// t . co / SIb9KKtfRN,4#13,0,579718244019363842,ne
ukip,"$t$ ' s 5 pledges : NO to EU , border control , £3bn more for NHS , cut foreign aid , no tax on minimum wage . # $t$ # GE2015 # Farage",0#29,1,582558505162375170,party keyword
housing,Social $t$ is the best answer to the $t$ crisis . Rent would naturally fall if private landlords have to compete for tenants . # bbcqt,1#8,1,578701515671629824,topic keyword
uk,6mth ago # AlexSalmond wanted out of $t$ but on 8th May he could b setting England & $t$ budgets thx # EdMilliband ! # VoteConservative # GE2015,7#18,0,579727420858695683,ne
spending cuts,# BattleForNumber10 How to avoid more public $t$ spending cuts $t$ ? HELLLOOOO http :// t . co / i9gcsDgLr4,7#10,-1,581207284455510016,topic keyword
eu,"Out of touch Pro left and pro $t$ media lobby called the debate for Ed , like they called the $t$ debate for Clegg # wrong # BattleForNumber10",7#20,-1,581231069724352512,topic keyword
police,"If such severe Tory $t$ cuts take place , we ' ll inevitably see rise of private $t$ for the rich and more gated communities # GE2015",4#17,-1,574913772764151808,topic keyword
snp,Ruth won ' t attack $t$ for their performance on waiting times ... she recognises that an end to $t$ surge isn ' t good for UK Tory party # bbcqt,5#19,-1,573627986542465024,party keyword
nhs,"# BattleForNumber10 do u want more nhs private services ? Yes if it ' s efficient good and still free to us as the $t$ , says he loves $t$",24#29,1,581209001096003585,topic keyword
pension,My $t$ is not a benefit I paid for that why is it because of the $t$ I can no longer claim carers allowece # BattleForNumber10,1#16,-1,581187180619554816,topic keyword
nhs,Alliance Medical win contract after bidding more £7m than # $t$ then subcontract $t$ to deliver for £7m less http :// t . co / zfxoQNhYSU # bbcqt,10#13,0,571036716502528001,topic keyword
eu,We could save £8 billion a year if we left the $t$ # VoteUKIP # $t$ # Brexit # UKIP # GE2015 http :// t . co / UidOTTGoCk,11#15,-1,581156116735901697,topic keyword
jeremy,$t$ was a nutty with Ed . What has personal family matter got to do with the economy . That ' s not right ! Bad boy $t$ ! # BattleForNumber10,0#27,-1,581237622598709248,ne
uk,# bbcdp Why oh why do labour want to kill off business in the $t$ ? Who ' s ask us men if we want paternity leave ? Labour would screw $t$ economy .,14#31,0,564761163196805120,ne
nhs,"Jeremy Hunt is corrupt corporate sponsored liar who cheated his way into office , make no mistake this man is selling off the $t$ # $t$ # GE15",23#25,-1,576416960373723136,topic keyword
education,"Need strong economy to pay for NHS , $t$ @ sajidjavid You want to cut NHS , $t$ for ideology reasons - to pay for tax cuts . # bbcqt",8#17,-1,578692692303020032,topic keyword
tories,# bbcdp $t$ talking bollox about Labour / SNP on Trident . All $t$ would vote for it & so would most of Labour so it would be renewed .,2#13,-1,575638723976691712,party keyword
labour,"# bbcdp "" as a $t$ MP , I ' m opposed to Trident "". The first nugget of flying a new policy for $t$ I think . Did I hear unilateral disarmament",5#24,0,574906493184540673,party keyword
all,UK economy would be betteer if $t$ LibLabCon stop pissing money up a wall . They ' re not cutting their vested interests at $t$ . # bbcdp,6#24,0,578536960949641216,ne
hsbc,Ed Balls writes to George Osborne over $t$ tax row # getcameronout # $t$ # torysleaze # ge2015 # davidcameron http :// t . co / nj34I9ZLS1,7#13,0,567828909842022400,ne
bbcqt,Turned on $t$ and thought I was watching a translation of a Greek political show . Anti austerity from the SNP obviously funded on oil # $t$,2#26,0,573621399832641536,ne
cam,"You said no plans to raise VAT to my face - twice , Paxman tells $t$ . We know what ' s necessary in next Parly , $t$ replies # BattleForNumber10",15#27,-1,581202061645205504,ne
crime,PM : Police budget cut for 20% yet the $t$ is getting lower . Me : So let ' s cut further and bring down $t$ rate ? logical . # BattleForNumber10,9#25,-1,581207909842944000,topic keyword
eu,UKIP blames the immigration problem on the $t$ . Most immigrants come from outside the $t$ . UKIP want more of them . # BBCQT,7#15,0,581236862452396032,topic keyword
a&e,"At last , a health - related question on $t$ waiting times in Scotland . Mirroring England , more people visiting $t$ than ever . # bbcqt",9#21,0,573627533343748096,topic keyword
danny,$t$ has NO right to talk about how bad the Tories are . His party ALWAYS supports them ... $t$ is more rightwing than Osborne ! # BBCQT,0#19,0,573623381888733184,ne
inflation,"The Tories cannot claim credit for low $t$ when it ' s down to low oil prices , remove that factor and $t$ is still high # bbcqt",7#22,0,568544672504803330,topic keyword
will,$t$ # Labour keep Trident or $t$ they get rid of our nuclear deterrent ? # BattleForNumber10,0#6,0,581212527742324736,ne
snp,""" The $t$ want to break up our country "". The $t$ want to end the Union , not break up Scotland or break up England . # pmqs # Budget2015 # GE2015",2#11,1,578167169495752704,party keyword
snp,Absolutely unbelievable Ruth Davidson not blaming $t$ for a & e NHS shambles ! All the proof you need ! Vote $t$ get Tories ! # bbcqt,6#21,-1,573629664821927936,party keyword
trident,Both @ UKIP and the @ duponline are in favour of renewing $t$ and maintaining Defence spending at 2% # $t$ # GE2015 ( 5 / 5 ),12#20,0,580026079265579008,topic keyword
nhs,More of our # $t$ was actually privatised under # Labour - 4 . 9% ! We have invested £12bn in our $t$ in the last 5 years # BattleForNumber10,4#22,0,581209562985984000,topic keyword
banking,"If your economy is entirely reliant on $t$ for growth and you then have a $t$ crisis , clearly there ' s going to be a crash # bbcsp",7#15,-1,582131387576283136,topic keyword
austerity,"Little understood fact : raising taxes is also a form of $t$ . $t$ is debt reduction , not meanness . # bbcqt",11#13,-1,573620194817482752,topic keyword
nhs,# GE2015 # $t$ - most is already privatised - Nurses working 12 hour shifts ... they have broken the # $t$,3#21,-1,581210751219691521,topic keyword
oil,SNP are one trick pony reliable wholely on $t$ revenue .. but given the $t$ price fall .. SNP has no plan b # bbcsp,8#14,0,574532400975331328,topic keyword
nhs,My old mums got a $t$ Scotland pillowcase on her Hosp bed in Kent . Might have a problem ring fencing Scotland from the rest of $t$ # bbcqt,5#26,0,573629507346829312,topic keyword
schools,# BBCQT young people dont vote bcause system too complicate and no ... NO political education in $t$ # SocialScience in $t$ ? # Where,17#21,-1,566019788569194496,topic keyword
taxes,Everyone knows we can either raise $t$ & spread the tax burden or further undermine / lose the Public Services our $t$ are spent on # bbcdp,6#21,-1,581071004597895168,topic keyword
zero hours,"Get the facts clear on $t$ : majority of new jobs full time , non $t$ . Only a growing economy allows that to continue # bbcqt",5#15,1,581229420125556738,topic keyword
tax avoidance,Isa $t$ Zero vat on books so is reading books a $t$ they must thing we are all so thick # bbcqt,1#11,0,566007778809237505,topic keyword
economy,who put danny alexander on # bbcqt ? so funny said do you want a fair $t$ ? is he kidding ? what fair $t$ look at # hsbc bankers etc,16#24,-1,573623445570863105,topic keyword
balls,". @ UKLabour 97 : $t$ / Brown , we have no plans to wreak economy like 70s . 15 : Salmond / $t$ , we have no plans to wreak economy like 08 # GE2015",5#23,-1,580686950979543041,topic keyword
agency,# BattleForNumber10 he ' s telling the truth for once there are more . nurses and doctors $t$ $t$ $t$,17#18#19,-1,581209324548173824,ne
economy,Is $t$ improving ? Is $t$ improving for ME ? Two biggest economic questions according to BBC ' s David Cowling at # GE2015 @ ConUnit _ UCL,1#5,0,576077193295630336,topic keyword
eu,"Total tripe from $t$ - phile Davey . NATO is our defence mechanism , not the # $t$ . # bbcqt",3#17,-1,566011612520525825,topic keyword
nato,# bbcqt Actually it ' s not EU expansion that is the choice of Ukraine it is $t$ ' s military aggressive expansion - UKIP won ' t criticise $t$,17#29,-1,566012546361327616,topic keyword
osborne,"$t$ should have the canjones to argue for # grexit . He just ducked that . # marrshow Ultimately , $t$ wants the UK locked in the EU .",0#20,-1,564362098298617857,topic keyword
isis,"If $t$ cannot be defeated without ground troops , & if UK and everyone else doesn ' t want to send them , how will $t$ be defeated ? # bbcsp",1#25,-1,564380426433994752,ne
taxes,"@ AZenkevitch sounds good , wt $t$ + what rates would the lower $t$ be ? Duties ? Wouldnt also dereg + less compliance cost be gud ? # GE2015",6#13,0,576750586890231809,topic keyword
eu,We shouldn ' t ban UK people from getting a job in another $t$ country so why ban an $t$ national getting job in UK ? # bbcqt,13#19,1,581236724451450880,topic keyword
assault,Workplace $t$ is $t$ . It gets dealt with as $t$ . Like it would with anyone else . End of . END . OF . PERIOD . CLOSED . DONE . # BBCqt,1#3#10,-1,581239640004419584,topic keyword
austerity,"If as Humza says , only SNP MPs can stop $t$ - why didn ' t they bother to vote against continued $t$ measures on Wednesday ? # bbcqt",10#22,-1,573639325637808128,topic keyword
vat,"@ bbcquestiontime 25% income tax . 20% $t$ , Tax on Petrol , etc etc and this is taxed money you are paying $t$ / Taxes on # BBCQT # UKIP",7#23,-1,578691200984694784,topic keyword
immigration,Cameron admits $t$ target has not been met . Welfare changes to be brought in to reduce $t$ from EU # BattleForNumber10,2#17,-1,581202145338327041,topic keyword
taxation,Reduce our overall $t$ and we wouldn ' t be trying to reduce $t$ we pay ( hate word avoidance ) # bbcqt,3#13,-1,566008120116518912,topic keyword
landlords,Rent cap would mean the incentive for $t$ to buy property would fall - doesn ' t that mean there will be less buy to let $t$ ? # bbcqt,7#26,1,578700040933371904,topic keyword
oil,Is # Marr going to quiz Salmond on how his predictions for the $t$ price & Scotland’s $t$ revenue were so wrong ? # marrshow,13#17,0,579579865738919937,topic keyword
nhs,"# bbcdp Andy Burnham , Labour MP who cannot add up , buggered up a working $t$ trust in London , saddled the $t$ with £9bn in PFI debt . # idiot",16#23,1,581430656682594305,topic keyword
free,"Before 1948 there wasn ' t an # NHS but the # healthcare was mostly provide $t$ by volunteers & Doctors waived fees , it was 100% $t$ # bbcqt",16#27,1,566018080909058048,ne
labour,A contradiction on # bbcsp Powell saying they will curb zero hours yet the $t$ woman on # bbbcsp # nw saying $t$ will ban zero hours,14#22,-1,582135500003241984,party keyword
policeman,"He thanks the old lady for her input , the $t$ for being a $t$ , but not the disabled lady - how un - pc # BattleForNumber10",10#14,0,581207813738893312,topic keyword
nhs,"High number of our candidates have an $t$ background , we believe in our wonderful $t$ & you need a stronger economy to pay for it . # GE2015",7#15,1,578881201194283008,topic keyword
labour,# bbcdp Why oh why do $t$ want to kill off business in the UK ? Who ' s ask us men if we want paternity leave ? $t$ would screw UK economy .,6#28,-1,564761163196805120,party keyword
uk,"Nobody in the $t$ would of voted you in if they saw the Tories real agenda , this austerity is crippling the $t$ # BattleForNumber10",3#22,-1,581202641767833600,ne
uk,""" How can the $t$ justify allowing female terrorists back to the $t$ ."" Bc letting ppl be murdered , raped & enslaved is what ISIS does ? # bbcqt",4#12,-1,578696343847329792,ne
pay,"Pay for # NHS it ' s not free today , you $t$ for prescriptions , dentists etc , so $t$ for GPs and operations . Stop being squeamish # bbcqt",12#20,0,566017981311090690,ne
ukip,$t$ blames the immigration problem on the EU . Most immigrants come from outside the EU . $t$ want more of them . # BBCQT,0#17,-1,581236862452396032,party keyword
labour,If # $t$ get into govt . rents will go up as the landlords will have to pay the letting agents . $t$ truly # clueless on economics ! # bbcqt,2#22,-1,578703873856159744,party keyword
labour,"$t$ ' s new policy , you can save into a pension , but you ' re not allowed to save over a certain amount - because $t$ want the rest # bbcsp",0#27,-1,571991220177805312,party keyword
eu,Starvation of UK forces and defence cuts make the UK more dependent on $t$ and NATO . It absorbs them more into the $t$ sphere # bbcqt,13#23,-1,566024068454162432,topic keyword
ed,"Yeah $t$ was ok , not much between them except the utter tosh from Cam on NHS . Last $t$ question was superb on $t$ balls # BattleForNumber10",1#19#24,1,581215524006322176,ne
issues,YES . SPOT ON MY MAN ! Liver $t$ from Drinking - pay yourself . Lung cancer from smoking - pay yourself . $t$ caused by obesity ... # bbcqt,8#23,0,566017667782696960,ne
@RichardWS,Lower taxes rendered null & void with the planned increase in VAT by the tories . $t$ # battlefornumber10 $t$,16#19,0,581388100234031104,ne
gdp,"# bbcqt immigration brings prosperity myth . Absolute GDP up , but $t$ per capita down . $t$ / head now at 2005 levels , but with 5m more people",12#17,-1,578696181859160067,topic keyword
uk,Starvation of $t$ forces and defence cuts make the $t$ more dependent on EU and NATO . It absorbs them more into the EU sphere # bbcqt,2#9,0,566024068454162432,ne
inflation,GDP figures are $t$ adjusted . And what measure of $t$ do we use ? It ' s all smoke and mirrors . # bbcqt http :// t . co / DrcRxxaYKH,3#10,0,568543741365112832,topic keyword
eu,@ LeanneWood got him ! 2m Britons live abroad in $t$ . We cannot stop $t$ citizens coming here while we continue living there # BBCQT # GE2015,10#15,0,581236497174659074,topic keyword
economy,"Working people spend £ in local $t$ , super rich that caused economic crisis file away in Swiss banks - Time for people led $t$ # bbcqt",6#24,1,566009876611354624,topic keyword
con,"# bbcdp . Sean Worth , $t$ propagandist , saying that Cons can rely on ( supposedly ) rising economy to get votes . Economic cycle , not $t$ policy",6#28,-1,578895757673152513,ne
eu,"1 ) Foreign Aid , c . £12bn a year . 2 ) $t$ membership , c . £55m a day . Use your vote wisely in May # UKIP # GE2015 # $t$ # Brexit
http :// t . co / SOlg5HIAFg",13#33,-1,572438359643168768,topic keyword
crime,Year $t$ has gone down because the police don ' t bother gathering evidence or recording $t$ as it should do # BattleForNumber10,1#16,-1,581207457848012801,topic keyword
eu,# BattleForNumber10 that ' s the problem Cameron !! $t$ migrants TAKING ALL LOW SKILLED JOBS factories all full of $t$ migrants no jobs left # twat,9#20,-1,581201916484579328,topic keyword
snp,$t$ all very excited today at SECC but ZERO economic plans at their conference . Not anti austerity party . # TUSC # $t$ # ge15 # GE2015 # NoCuts,0#23,-1,581931689049481216,party keyword
tax avoidance,# bbcqt true . everyone does try to avoid tax and its not $t$ that creates inequality in society . buyin dodgy baccy is $t$,13#24,0,566005792860803072,topic keyword
uk,The $t$ after 5 more years # Tories or # Condems doesnt bear thinking about ... not even sure $t$ could last 5 years # bbcdp # bbcnews # budget2015,1#19,-1,578201431687196672,ne
hsbc,If you ' re a suspected benefit fraudster you can expect your door to be breached at 5am # BBCDP ; guess police don ' t know where # $t$ HSBC $t$ lives : 7,29#31,-1,565124134775324672,ne
growth,"# bbcqt $t$ $t$ for 1% $t$ inequality , $t$ in homelessness , $t$ in poverty , $t$ in zero - hours contracts , minimum wages",2#3#6#9#13#17,0,568543539644252160,ne
eu,"Pro - $t$ people say 3 million jobs are linked to $t$ membership , but it ' s linked to trade . 5 million $t$ jobs are linked to trade with UK # bbcdp",2#11#24,0,575277496695980035,topic keyword
migrants,# BattleForNumber10 that ' s the problem Cameron !! Eu $t$ TAKING ALL LOW SKILLED JOBS factories all full of eu $t$ no jobs left # twat,10#21,-1,581201916484579328,topic keyword
nhs,Ah an $t$ question on # bbcqt will Suzanne from UKIP actually have to answer . But Farage wanted more private profit biz provision in $t$,2#25,0,566018825653846016,topic keyword
isa,# bbcqt Sick of the Tory BBC using $t$ ' s as an example of tax avoidance - $t$ ' s are govt approved and sold in the high street - Agree RT,8#18,1,566010548652089345,ne
eu,“ @ JeffBlyth01 : # bbcqt So # UKIP say # $t$ are to blame for zero hours contracts in the UK ..?! # IDIOTS” they don ' t exist in other $t$ countries,11#32,0,581234851321348097,topic keyword
environment,We want to know your top # $t$ concerns . In # GE2015 which # political # party will best serve the # $t$ ? http :// t . co / RnM13fBNd9,7#23,0,580741471071924226,topic keyword
oil,And maybe if you backed $t$ exploration and fracking the EU could rely on British $t$ and energy and not Russian $t$ ? # BBCQT,5#15#21,1,566012631551836161,topic keyword
doctors,# bbcqt ALSO $t$ numbers reduced and yet $t$ surgeries cannot control their patient levels as NOW have to accept all on their books !,3#8,-1,573630168109084673,topic keyword
pensioners,Even $t$ have had enough of # Cameron and his bullshit . If $t$ rebel the # Tories can ' t get in - do it ! # bbcnews # c4news # bbcdp,1#13,1,580420446581035008,topic keyword
balls,@ UKLabour ' s $t$ would wreck theUK Economy AGAIN . Let ' s make sure No $t$ Games allowed # VoteConservative # GE2015 http :// t . co / xs2fBio3Rg,4#17,-1,572762596882952192,topic keyword
nhs,"$t$ Highland , almost 97% of patients being seen on time . $t$ Highland budget is increasing by £39 . 3m . # factcheckDanny # bbcqt",0#12,1,573629466167132160,topic keyword
economy,"' the best way to help the poor is with a growing $t$ ' - bollocks . If you ' re a Tory , the $t$ grows and you still cut benefits . # bbcqt",12#25,-1,578692285296205824,topic keyword
nhs,Corrupt lying scum Cameron and Hunt know the games up they ' re selling off as much $t$ as they can with Lib Dems help before May # $t$ # GE15,17#28,-1,576447618810814464,topic keyword
vat,# bbcdp # EdBalls # NHS pledges like FiveYorkshiremenSketch wont raise $t$ but not ruled out stealth $t$ on food with fat or sugar now tax free,11#17,-1,580339987390005248,topic keyword
labour,Michael Heseltine bang on the money when it comes to talking about the mess $t$ made of economy . Don ' t let $t$ wreck it again . # bbcqt,14#23,-1,568544268530393089,party keyword
nhs,I ' d like Cameron to explain why he ' s selling off the $t$ to Tory owned companies but yet still says the $t$ is safe ? # BattleForNumber10,14#24,0,581207960170426369,topic keyword
eu,I detest Cameron with a Passion . But he ' s right on the $t$ if you want out . He ' s the only one with legal clout in $t$ . # BattleForNumber10,14#30,-1,581204942125400064,topic keyword
nhs,"Labour states if they win , they will recruit 2000 GPs and 8000 staff ? Believe this & is this what the $t$ needs ? # $t$ # generalelection",22#26,0,580079018310955009,topic keyword
snp,Balls : utter nonsense ( Lab deal with the $t$ ). The only party to do a deal with the # $t$ is the Tories in Scotland # Marr # GE2015,9#21,0,577037613103759360,party keyword
mps,Means testing : $t$ tend to think non $t$ shd grovel about in abject poverty while they eat £36 breakfasts those pensioners paid for . # bbcqt,3#8,-1,578694299795243008,ne
tories,"$t$ will raise VAT , it hits poor but not the rich , it hits vulnerable most of all & $t$ get their rocks off kicking those groups # bbcdp",0#20,-1,580344170675625984,party keyword
schools,# bbcqt @ NickyMorgan01 My educational game is now in Nigeria $t$ . Can you help get into UK $t$ ? @ WhirredPlay http :// t . co / i78zZrytDr,11#19,0,581226419415552000,topic keyword
